Grantee,Total awarded:,Grant purpose,Grantee website,Year(s) granted:,Focus area,Service area,Returned/Cancelled grant?,Reason cancelled/returned:,City,Lat,Long,Area,Legislative district,Project
Montclair Local Nonprofit News,$180000.00,"to hire a senior reporter dedicated to covering Essex County and the issues facing its communities, including a wide range of topics such as public spending, county government, housing and development, environmental concerns, transportation, public safety, and local institutions, businesses, and arts and culture organizations that shape residents’ daily lives.",https://montclairlocal.news/,"2025,2026",Civic news and information reporting,Essex County,,,Montclair,40.8259,-74.2090,North Jersey,27,Essex County senior reporter
South Jersey Climate News Project,$115320.00," to fund stipends for student interns providing high quality news coverage of climate change in South Jersey, including the impact on the environment, agriculture, the Pine Barrens, beaches, tourism, and wetlands. 
",https://sjclimate.news,"2022,2023,2025",Civic news and information reporting,South Jersey,,,Glassboro,39.7029,-75.1118,South Jersey,3,Climate reporting student internships
New Jersey Council for the Humanities and Journalism + Design,$459000.00,to fund the development of a statewide journalism training program in partnership with six New Jersey community colleges that equips citizens with skills to tell the stories of their communities. Journalism + Design and NJCH piloted a similar program in South Jersey in spring 2022.,https://njhumanities.org/programs/informed-nj/#grassroots,"2022,2024",Journalism pipeline,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,Statewide community journalism training
Stories of Atlantic City,$99892.00,"to pilot an initiative to train and pay community members as reporters covering the local city council, planning board, board of education, and casino reinvestment authority meetings, and to develop new ways to engage community members in the decision-making processes that impact their lives. Traditional journalism methods are not meeting the larger Atlantic City community’s information needs.
",https://storiesofatlanticcity.com,"2021,2022,2023,2024",Civic engagement in NJ communities,Atlantic County,,,Atlantic City,39.3643,-74.4229,South Jersey,2,Community reporter pilot
Industry Media Arts,$274720.00,to fund a Journalism Mentorship Program that provides high school students with early awareness and readiness training for undergraduate collegiate journalism programs. ,https://www.industryarts.tv,"2023,2024,2025",Journalism pipeline,Ocean County,,,Toms River,39.9526,-74.1937,South Jersey,10,Journalism Mentorship Program
Trenton Journal,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",www.trentonjournal.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,Blue Engine Technology & Sustainability Accelerator cohort
Corporation for New Jersey Local Media,$158315.00,"to fund the continuation of the work of the Northern NJ News Collaborative on its “Stormwater Matters” initiative and will grow community engagement.
",https://newsweneed.org,"2023,2024",Civic engagement in NJ communities,Morris County,,,New Vernon,40.7331,-74.4977,North Jersey,25,Stormwater Matters initiative
Intersystemz,$35000.00,"to fund the creation of a new community centered news platform covering Trenton, in partnership with COMPAS, Pod City Trenton, Kean University and The College of New Jersey.",,2022,Civic news and information reporting,Mercer County,,,Trenton,40.2206,-74.7597,Central Jersey,15,Trenton community news platform
Heady NJ,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",headynj.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Hazlet,40.4289,-74.1651,Central Jersey,13,Blue Engine Technology & Sustainability Accelerator cohort
"Hopeloft, Inc.",$254690.00,"to develop and implement each year a 15-week training and internship program for youth/citizens in foster care and for children of incarcerated people to tell the stories of their peers for Hopeloft’s local news site, Follow South Jersey. This grant was funded in part in the first year by support from New Jersey Health Initiatives (NJHI), a statewide grantmaking program of the Robert Wood Johnson Foundation.
",https://www.hopeloft.com,"2021,2022,2023,2024,2025",Journalism pipeline,South Jersey,,,Bridgeton,39.4273,-75.2341,South Jersey,1,Follow South Jersey internship program
