Grantee,Total awarded:,Grant purpose,Grantee website,Year(s) granted:,Focus area,Service area,Returned/Cancelled grant?,Reason cancelled/returned:,City,Lat,Long,Area,Legislative district,Project
New Jersey Urban News,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,https://www.njurbannews.com,2025,Journalism pipeline,North Jersey,,,Newark,40.7357,-74.1724,North Jersey,29,Statewide Paid Internship Program
Front Runner New Jersey,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://frontrunnernewjersey.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,South Jersey,,,Atlantic City,39.3643,-74.4229,South Jersey,2,Blue Engine Technology & Sustainability Accelerator cohort
"TAPinto Bayonne, Hamilton/Robbinsville, Hoboken, Jersey City, Paterson. ",$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,TAPinto.net,2025,Journalism pipeline,North Jersey,,,Jersey City,40.7178,-74.0431,North Jersey,32,Statewide Paid Internship Program
Asbury Park Media Collective,$112600.00,"to create an incubator for emerging community reporters and local media makers. The work the community reporters produce over the course of the training sessions — including news articles, news broadcasts for radio, news videos and documentary short subjects, podcasts, and social media posts — is published and disseminated through a website and a network of local media partners. The project has focused on live streaming city council and board of education meetings in Asbury Park.",https://asburyparkreporter.com,"2022,2023",Civic engagement in NJ communities,Monmouth County,,,Asbury Park,40.2204,-74.0121,Central Jersey,11,Community reporter incubator
Center for Cooperative Media,$99070.00," to fund the making of the 2023 NJ Statewide Voting Guide, which helped encourage civic engagement. Citizens also had an interactive opportunity to vote their choices on statewide and local issues. 
",https://centerforcooperativemedia.org,2023,Civic engagement in NJ communities,Statewide,,,Montclair,40.8259,-74.2090,North Jersey,27,Statewide Voting Guide
"If I Can, You Can Inc.",$35000.00,"to help revitalize the online neighborhood news franchise TAPInto.net in Salem County, with the goal of sharing news articles across New Jersey tow",,2021,Civic news and information reporting,Salem County,checked,Grantee declined grant award following the announcement of this grant.,Salem,39.5687,-75.4671,South Jersey,3,TAPinto Salem County launch
Paterson Alliance,$33000.00,to manage the library-based Paterson Information Hub to provide the community with training in citizen journalism and news-production technology. The alliance also aimed to convene local events to assess community-information needs.,https://patersonalliance.org,2021,Civic engagement in NJ communities,Passaic County,,,Paterson,40.9168,-74.1718,North Jersey,35,Paterson Information Hub
Camden Fireworks,$64460.00," to undertake a community-centered storytelling project in Camden documenting the challenges and opportunities of living a long, healthful life amidst environmental injustice by interviewing, facilitating discussions, and documenting the personal narratives of community members. 
",https://camdenfireworks.org,2023,Civic engagement in NJ communities,Camden County,,,Camden,39.9259,-75.1196,South Jersey,5,Camden environmental storytelling
NJ Society of Professional Journalists,$35000.00,"to fund a census of student journalists and journalism programs around the state, along with the development of a central database of scholastic journalism websites and publications. The grant will also fund student press identification cards.",https://www.njspj.org,2022,Journalism pipeline,Statewide,checked,Grant returned due to inactivity,Trenton,40.2206,-74.7597,Central Jersey,15,Student journalism census
MercerMe,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,mercerme.com,2025,Journalism pipeline,Central Jersey,,,Pennington,40.3249,-74.7888,Central Jersey,15,Statewide Paid Internship Program
TAPinto Raritan Bay (Sayreville/South Amboy) and TAPinto Scotch Plains-Fanwood ,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,"www.tapintoRaritanBay.net, www.tapintoSPF.net",2025,Journalism pipeline,Central Jersey,,,Sayreville,40.4587,-74.3610,Central Jersey,19,Statewide Paid Internship Program
NJ Monitor,$210000.00,"to support a dedicated health care reporter at the New Jersey Monitor, strengthening coverage of health policy, public health, and the health care system across the state. This funding supports up to three years and is funded in part by the Robert Wood Johnson Foundation.",https://newjerseymonitor.com/,2025,Civic news and information reporting,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,Health care reporter
New Jersey Hills Media Group,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,newjerseyhills.com,2025,Journalism pipeline,North Jersey,,,Morristown,40.7968,-74.4815,North Jersey,25,Statewide Paid Internship Program
NJ Advance Media,$25000.00," to fund the creation of a Journalism Talent Pipeline for aspiring journalists  of color or from an underrepresented community. Nationally, journalists of color make up less than 17% of newsrooms and just 13% of newsroom leadership.
",https://www.njadvancemedia.com,2023,Journalism pipeline,Middlesex County,checked,"Grants returned due to inactivity
",New Brunswick,40.4922,-74.4513,Central Jersey,17,Journalism Talent Pipeline
Latino Spirit Media,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",WWW.THELATINOSPIRIT.COM,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Blue Engine Technology & Sustainability Accelerator cohort
Center for Cooperative Media,$366038.88,"to fund a researcher at the Center for Cooperative Media at Montclair State University to conduct research on the New Jersey local news ecosystem. The researcher will also conduct learning and impact evaluation for the Consortium.
",https://centerforcooperativemedia.org,"2022,2024,2025",Civic engagement in NJ communities,Statewide,,,Montclair,40.8259,-74.2090,North Jersey,27,Research and Development
DataSourceNJ Inc.,$50000.00," to develop from an operating prototype a repository to collect, clean, host, integrate, analyze, and present data and resulting insights to local investigative journalists, community activists, small businesses, academicians, and students. 
",https://datasourcenj.org,2023,Civic engagement in NJ communities,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Journalism data repository
Healthy NewsWorks,$70000.00,"to support the expansion of access to the Healthy NewsWorks literacy program and engage students and schools in Camden, New Jersey through community health journalism.",https://www.healthynewsworks.org/,"2025,2026",Civic news and information reporting,Statewide,,,Camden,39.9259,-75.1196,South Jersey,5,Camden health journalism literacy
Atlantic City Focus,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. 
",www.atlanticcityfocus.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Atlantic County,,,Atlantic City,39.3643,-74.4229,South Jersey,2,Blue Engine Technology & Sustainability Accelerator cohort
Daily Targum ,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,dailytargum.com,2025,Journalism pipeline,Central Jersey,,,New Brunswick,40.5008,-74.4474,Central Jersey,17,Statewide Paid Internship Program
Public Square Amplified,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.publicsq.org,2024,Blue Engine Tech & Sustainability Accelerator Grant,Essex County,,,Newark,40.7357,-74.1724,North Jersey,29,Blue Engine Technology & Sustainability Accelerator cohort
VietLead,$48000.00,"to hold neighborhood listening sessions in the 2023-2024 growing season through its Jersey Roots Youth Program, in collaboration with its Resilient Roots Farm Project, and to learn about what local issues are top of mind for its Black, Brown, and Southeast Asian neighbors who live, work, and play in East Camden neighborhoods.",https://www.vietlead.org/our-roots-youth-program,2023,Civic engagement in NJ communities,Camden County,,,Camden,39.9259,-75.1196,South Jersey,5,Jersey Roots Youth Program listening sessions
Black in Jersey,$320000.00,"to support the launch of Black in Jersey as a reliable news and information hub serving New Jersey’s Black communities, and also to provide support for the organization’s first statehouse and local government reporting cohort, and to launch its incubator program featuring Millennial and Generation Z-led news services — including the Hotspot Podcast. Grant funding currently supports organizational sustainability and leadership development.
",https://www.blackinjersey.com,"2022,2023,2024,2025",Civic news and information reporting,Statewide,,,Trenton,40.2171,-74.7429,Central Jersey,15,Black news and information hub
TAPinto Hasbrouk Heights,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.tapinto.net,2024,Blue Engine Tech & Sustainability Accelerator Grant,Bergen County,,,Hasbrouck Heights,40.8584,-74.0821,North Jersey,38,Blue Engine Technology & Sustainability Accelerator cohort
NJ Pen,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,https://www.njpen.com,2025,Journalism pipeline,South Jersey,,,Haddonfield,39.8915,-75.0379,South Jersey,6,Statewide Paid Internship Program
The Jersey Bee,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,jerseybee.org,2025,Journalism pipeline,North Jersey,,,Bloomfield,40.8068,-74.1854,North Jersey,34,Statewide Paid Internship Program
NJ Spotlight News,$250000.00,"to support a new Report for America corps member to expand health coverage by focusing on mental health in underserved communities, at the intersection of the COVID-19 pandemic, health inequity, and rural New Jersey. The 2022 grant was funded in part by support from New Jersey Health Initiatives (NJHI), a statewide grantmaking program of the Robert Wood Johnson Foundation. 
",https://www.njspotlightnews.org/?gad_source=1&gclid=Cj0KCQiAu8W6BhC-ARIsACEQoDD6AXC1bQlAk7_gREefC_S0FnIr46tD7EmNV97SoKrC_r04-l2YMHoaAlmNEALw_wcB,"2022,2023,2025",Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Report for America mental health corps member
New Jersey YMCA State Alliance,$135000.00,"to support an ongoing statewide storytelling project focused on documenting resident perspectives about COVID-19 vaccination. Insights have been incorporated into a digital and print “feature” for local dissemination with resident experiences, recommendations, and best practices for communicating about the vaccine in a community-centered, culturally relevant way that enhances access to documented stories, promotes information-sharing, and strengthens communities.
",https://www.njymca.org,"2022,2023",Civic engagement in NJ communities,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,COVID-19 vaccination storytelling
Muslim,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",http://muslim.co,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Blue Engine Technology & Sustainability Accelerator cohort
Wayne Hills High School,$35991.00,to fund the creation of a podcasting studio and support the digital journalism program for students in Wayne Township.,https://whhspatriotpress.com/category/multimedia/,"2023,2024",Journalism pipeline,Passaic County,,,Wayne,40.9472,-74.2474,North Jersey,40,Podcasting studio and digital journalism program
Ridge View Echo,$395000.00,"to address the loss of local-news outlets by launching the Greater Blairstown News Project online publication, the Ridge View Echo, reporting on Blairstown, Frelinghuysen, Hardwick and Knowlton, all Warren County communities with no other dedicated local news sources. This effort provides residents with vital and timely government announcements about public health and safety, and foster greater connection to and awareness of local issues across northwest New Jersey.
",https://ridgeviewecho.com,"2021,2022,2023,2024,2025",Civic news and information reporting,Warren County,,,Blairstown,40.9912,-74.9471,North Jersey,23,Greater Blairstown News Project
Ridge View Echo,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",www.ridgeviewecho.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Warren County,,,Blairstown,40.9912,-74.9471,North Jersey,23,Blue Engine Technology & Sustainability Accelerator cohort
VaccinateNJ.com,$35000.00,will add more features to its health information website to help residents statewide — including native Spanish speakers and others in underserved communities — get real-time information about vaccination appointment locations and vaccine availability.,,2021,Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Vaccination information website expansion
The College of New Jersey ,$25950.00,"to support student-led investigative reporting, print distribution, and equipment upgrades that strengthen journalism training at TCNJ.",https://www.tcnjsignalnews.com/,2025,Civic news and information reporting,Central Jersey,,,Ewing,40.2651,-74.7860,Central Jersey,15,Student investigative reporting at TCNJ
Central Desi,$301066.00,"to fund a fellowship opportunity that will cultivate college students as future journalists in New Jersey and train them to report, write, and engage with local communities by covering the South Asian American community. 
",https://centraldesi.beehiiv.com,"2023,2024,2025",Journalism pipeline,Mercer County,,,Trenton,40.2206,-74.7597,Central Jersey,15,South Asian journalism fellowship
New Jersey Urban News,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.njurbannews.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Blue Engine Technology & Sustainability Accelerator cohort
NJ Pen,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.njpen.com/,2024,Blue Engine Tech & Sustainability Accelerator Grant,Passaic County,,,Haddonfield,39.8915,-75.0379,South Jersey,6,Blue Engine Technology & Sustainability Accelerator cohort
New Jersey State House News Service,$220000.00,"to fund The News Service, a nonprofit, collaborative effort that trains and develops student journalists by providing professional reporting on government and politics from Trenton’s statehouse for use by independent local news outlets across New Jersey. The program offers college level students hands-on experience, with guidance from an experienced, full-time editor. 
",http://njstatenews.com,"2024,2025",Journalism pipeline,Statewide,,,Trenton,40.2206,-74.7597,Central Jersey,15,The News Service
HudPost,$100000.00,"to support expanded bilingual coverage in Hudson County through new reporting staff, print editions, and community engagement events.",https://hudpost.com/,2025,Civic news and information reporting,Hudson County,,,Jersey City,40.7178,-74.0431,North Jersey,32,Bilingual Hudson County coverage
HudPost,$3300.00,to support the placement of a student intern through the Statewide Paid Internship Program.,HudPost.com,2025,Journalism pipeline,North Jersey,,,Jersey City,40.7178,-74.0431,North Jersey,32,Statewide Paid Internship Program
Movimiento Cosecha,$185000.00,"to work with Rutgers University to establish Radio Cosecha, a twice-weekly Spanish-language internet-radio program for the state’s Spanish-speaking immigrant community, telling the stories of seasonal agricultural workers in South Jersey. Cosecha researches and delivers important local, national, and international news in an accessible format, in order to achieve greater civic participation within New Jersey’s immigrant community. 
",https://www.lahuelga.com,"2021,2022,2023",Civic news and information reporting,Union County,,,Elizabeth,40.6660,-74.2009,Central Jersey,20,Radio Cosecha
NJ Spotlight News,$305000.00,"to support the salary of a Washington, D.C.-based correspondent to provide regular reporting to NJ Spotlight News and a collaborative network of newsrooms across the state on developments affecting New Jersey. 
",https://www.njspotlightnews.org,"2023,2024,2025",Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,"Washington, D.C. correspondent"
Cranford High School,$86497.75,"to grow the content, readership, and capacity of a fledgling digital journalism program and school-wide digital news source by integrating curriculum from varied elective courses and leveraging the expertise of a local college or university. 
",http://chs.cranfordschools.org,"2022,2023",Journalism pipeline,Union County,,,Cranford,40.6546,-74.2993,Central Jersey,22,Digital journalism program expansion
The Village Green,$40000.00,"to support student newsroom internships that expand coverage while creating paid, mentored opportunities for emerging journalists.",https://villagegreennj.com/,2025,Journalism pipeline,Essex County,,,Maplewood,40.7355,-74.2679,North Jersey,28,Student newsroom internships
